Date,Trimestre,Retorno
2/01/2015,20150101,-0.000339987
5/01/2015,20150101,-0.018278105
6/01/2015,20150101,-0.008893472
7/01/2015,20150101,0.011629843
8/01/2015,20150101,0.017888281
9/01/2015,20150101,-0.008403811
12/01/2015,20150101,-0.008093685
13/01/2015,20150101,-0.002578555
14/01/2015,20150101,-0.005813067
15/01/2015,20150101,-0.009247876
16/01/2015,20150101,0.013424199
20/01/2015,20150101,0.001549952
21/01/2015,20150101,0.004731624
22/01/2015,20150101,0.015269722
23/01/2015,20150101,-0.005491522
26/01/2015,20150101,0.002568461
27/01/2015,20150101,-0.013387862
28/01/2015,20150101,-0.01349561
29/01/2015,20150101,0.009534685
30/01/2015,20150101,-0.012991965
2/02/2015,20150101,0.012962464
3/02/2015,20150101,0.014439495
4/02/2015,20150101,-0.004156046
5/02/2015,20150101,0.010291407
6/02/2015,20150101,-0.003418172
9/02/2015,20150101,-0.004247195
10/02/2015,20150101,0.010675561
11/02/2015,20150101,-2.90338E-05
12/02/2015,20150101,0.009644506
13/02/2015,20150101,0.004074739
17/02/2015,20150101,0.001597575
18/02/2015,20150101,-0.000314309
19/02/2015,20150101,-0.001062058
20/02/2015,20150101,0.006126534
23/02/2015,20150101,-0.000303339
24/02/2015,20150101,0.002758771
25/02/2015,20150101,-0.000765724
26/02/2015,20150101,-0.001476028
27/02/2015,20150101,-0.002956304
2/03/2015,20150101,0.006124919
3/03/2015,20150101,-0.004538542
4/03/2015,20150101,-0.004388503
5/03/2015,20150101,0.00119608
6/03/2015,20150101,-0.014173946
9/03/2015,20150101,0.003944421
10/03/2015,20150101,-0.01696133
11/03/2015,20150101,-0.00191768
12/03/2015,20150101,0.01260144
13/03/2015,20150101,-0.006074711
16/03/2015,20150101,0.013533671
17/03/2015,20150101,-0.003320174
18/03/2015,20150101,0.012158422
19/03/2015,20150101,-0.004872579
20/03/2015,20150101,0.009012755
23/03/2015,20150101,-0.001745731
24/03/2015,20150101,-0.006139422
25/03/2015,20150101,-0.014558906
26/03/2015,20150101,-0.0023775
27/03/2015,20150101,0.002368562
30/03/2015,20150101,0.012236645
31/03/2015,20150101,-0.008795775
1/04/2015,20150401,-0.003965372
2/04/2015,20150401,0.003529667
6/04/2015,20150401,0.006608815
7/04/2015,20150401,-0.002061904
8/04/2015,20150401,0.002682533
9/04/2015,20150401,0.004457481
10/04/2015,20150401,0.005202865
13/04/2015,20150401,-0.004581281
14/04/2015,20150401,0.001629759
15/04/2015,20150401,0.005148196
16/04/2015,20150401,-0.000778444
17/04/2015,20150401,-0.011311245
20/04/2015,20150401,0.009235131
21/04/2015,20150401,-0.001480605
22/04/2015,20150401,0.00508748
23/04/2015,20150401,0.002357716
24/04/2015,20150401,0.0022528
27/04/2015,20150401,-0.004141314
28/04/2015,20150401,0.002769232
29/04/2015,20150401,-0.003740336
30/04/2015,20150401,-0.010128907
1/05/2015,20150401,0.010923002
4/05/2015,20150401,0.002940749
5/05/2015,20150401,-0.011837384
6/05/2015,20150401,-0.004455725
7/05/2015,20150401,0.003773814
8/05/2015,20150401,0.013457901
11/05/2015,20150401,-0.005089561
12/05/2015,20150401,-0.002949638
13/05/2015,20150401,-0.000304955
14/05/2015,20150401,0.010779287
15/05/2015,20150401,0.000768414
18/05/2015,20150401,0.003047948
19/05/2015,20150401,-0.000643375
20/05/2015,20150401,-0.000930516
21/05/2015,20150401,0.002337874
22/05/2015,20150401,-0.002233886
26/05/2015,20150401,-0.01028198
27/05/2015,20150401,0.009162641
28/05/2015,20150401,-0.001266761
29/05/2015,20150401,-0.006318469
1/06/2015,20150401,0.002059461
2/06/2015,20150401,-0.001008596
3/06/2015,20150401,0.002118871
4/06/2015,20150401,-0.008623167
5/06/2015,20150401,-0.001436183
8/06/2015,20150401,-0.00647451
9/06/2015,20150401,0.000418353
10/06/2015,20150401,0.012042425
11/06/2015,20150401,0.001738626
12/06/2015,20150401,-0.0069943
15/06/2015,20150401,-0.004622572
16/06/2015,20150401,0.005689856
17/06/2015,20150401,0.001979641
18/06/2015,20150401,0.009902711
19/06/2015,20150401,-0.005303502
22/06/2015,20150401,0.006094867
23/06/2015,20150401,0.000635868
24/06/2015,20150401,-0.007353297
25/06/2015,20150401,-0.002973574
26/06/2015,20150401,-0.00039008
29/06/2015,20150401,-0.020866194
30/06/2015,20150401,0.002658489
1/07/2015,20150701,0.00693604
2/07/2015,20150701,-0.000308023
6/07/2015,20150701,-0.003861757
7/07/2015,20150701,0.006080975
8/07/2015,20150701,-0.016652749
9/07/2015,20150701,0.002262203
10/07/2015,20150701,0.012338485
13/07/2015,20150701,0.011066049
14/07/2015,20150701,0.004453159
15/07/2015,20150701,-0.000734986
16/07/2015,20150701,0.008014681
17/07/2015,20150701,0.001106183
20/07/2015,20150701,0.000771234
21/07/2015,20150701,-0.004261689
22/07/2015,20150701,-0.00238771
23/07/2015,20150701,-0.00567604
24/07/2015,20150701,-0.010703328
27/07/2015,20150701,-0.005775015
28/07/2015,20150701,0.012386154
29/07/2015,20150701,0.007318795
30/07/2015,20150701,2.83676E-05
