Date,S&P Return
2013-01-02,0.025403421
2013-01-03,-0.002085618
2013-01-04,0.004865097
2013-01-07,-0.003123116
2013-01-08,-0.003242372
2013-01-09,0.002655867
2013-01-10,0.007597415
2013-01-11,-4.75E-05
2013-01-14,-0.000930671
2013-01-15,0.00112867
2013-01-16,0.000196992
2013-01-17,0.005642922
2013-01-18,0.00340327
2013-01-22,0.004428107
2013-01-23,0.001507477
2013-01-24,6.61E-06
2013-01-25,0.005445482
2013-01-28,-0.001849621
2013-01-29,0.005105995
2013-01-30,-0.003899621
2013-01-31,-0.002563301
2013-02-01,0.010052706
2013-02-04,-0.011538745
2013-02-05,0.01041651
2013-02-06,0.000549171
2013-02-07,-0.001805399
2013-02-08,0.005657941
2013-02-11,-0.000606118
2013-02-12,0.001595272
2013-02-13,0.000592263
2013-02-14,0.000690672
2013-02-15,-0.001045081
2013-02-19,0.007336475
2013-02-20,-0.012404138
2013-02-21,-0.006303057
2013-02-22,0.008772468
2013-02-25,-0.018309581
2013-02-26,0.006109463
2013-02-27,0.012725994
2013-02-28,-0.00086408
2013-03-01,0.002323855
2013-03-04,0.004610723
2013-03-05,0.009566017
2013-03-06,0.001084513
2013-03-07,0.001816492
2013-03-08,0.004481139
2013-03-11,0.003249086
2013-03-12,-0.002403253
2013-03-13,0.001314052
2013-03-14,0.00560299
2013-03-15,-0.001618462
2013-03-18,-0.005510332
2013-03-19,-0.002422531
2013-03-20,0.006697492
2013-03-21,-0.008282434
2013-03-22,0.007174256
2013-03-25,-0.003340039
2013-03-26,0.007785111
2013-03-27,-0.00058835
2013-03-28,0.004056669
2013-04-01,-0.00447358
2013-04-02,0.005172264
2013-04-03,-0.010546129
2013-04-04,0.004048452
2013-04-05,-0.004294896
2013-04-08,0.006302738
2013-04-09,0.003544332
2013-04-10,0.012189133
2013-04-11,0.003552251
2013-04-12,-0.002836767
2013-04-15,-0.022966291
2013-04-16,0.014307223
2013-04-17,-0.014327681
2013-04-18,-0.006701004
2013-04-19,0.008847903
2013-04-22,0.00466163
2013-04-23,0.010419219
2013-04-24,6.34E-06
2013-04-25,0.004034732
2013-04-26,-0.001842113
2013-04-29,0.007186012
2013-04-30,0.0024849
2013-05-01,-0.009307884
2013-05-02,0.009407983
2013-05-03,0.010534667
2013-05-06,0.001907779
2013-05-07,0.00523027
2013-05-08,0.004139081
2013-05-09,-0.003687104
2013-05-10,0.004321655
2013-05-13,4.29E-05
2013-05-14,0.010142153
2013-05-15,0.005114136
2013-05-16,-0.005009741
2013-05-17,0.010300097
2013-05-20,-0.000707618
2013-05-21,0.001722386
2013-05-22,-0.008273657
2013-05-23,-0.002923832
2013-05-24,-0.000551365
2013-05-28,0.006340982
2013-05-29,-0.007047982
2013-05-30,0.003670344
2013-05-31,-0.014307242
2013-06-03,0.005935989
